peak_id,protein_id,genes,time,peak_apex,peak_height,peak_width,peak_area,peak_left,peak_right,snr,asymmetry,sharpness,peak_background_intensity
0,A0A0B4J1G0,Fcgr4,10min,7,40086700.0,16,357803429.99999994,1.0,16.0,806.4668604110874,0.1875,2505418.75,426675643.3333333
1,A0A0B4J1G0,Fcgr4,10min,19,10055275.555555556,7,52457536.66666666,16.0,22.0,202.29269328373854,0.0,1436467.9365079366,426675643.3333333
2,A0A0G2JDV3,Gbp6,10min,32,18079691.666666664,16,89998589.99999999,23.0,38.0,363.728423033504,-0.1875,1129980.7291666665,89998589.99999999
3,A0A0G2JG52,Crybg1,10min,23,8525258.888888888,18,54014768.22222222,13.0,30.0,171.5117176099289,-0.16666666666666666,473625.49382716045,55188059.99999999
4,A0A140LIF8,Irgm2,10min,8,13429847.777777774,17,93910984.44444442,1.0,17.0,270.18255863274504,0.11764705882352941,789991.0457516338,94929824.44444443
5,A0A1L1SSC7,Ttc13,10min,6,2863841.444444444,13,17744561.666666664,1.0,13.0,57.614950056159884,0.15384615384615385,220295.4957264957,20821381.66666666
6,A0A1L1SSC7,Ttc13,10min,31,552990.0,7,1816508.888888889,28.0,34.0,11.125089097848594,0.0,78998.57142857143,20821381.66666666
7,A0A1L1SSC7,Ttc13,10min,36,472616.6666666666,6,1417850.0,34.0,39.0,9.508133105110176,0.16666666666666666,78769.44444444444,20821381.66666666
8,A0A286YCV9,Kif13b,10min,8,20061690.0,14,163163224.99999997,1.0,14.0,403.6023955287042,-0.07142857142857142,1432977.857142857,416293318.33333325
9,A0A286YCV9,Kif13b,10min,24,14887961.111111108,6,80546929.99999999,21.0,26.0,299.51697832947434,-0.16666666666666666,2481326.851851851,416293318.33333325
10,A0A286YCV9,Kif13b,10min,30,17988892.22222222,14,126698711.11111109,26.0,39.0,361.90171385344723,0.35714285714285715,1284920.873015873,416293318.33333325
11,A0A286YCX6,Trappc8,10min,10,66507525.555555545,17,389543688.88888884,1.0,17.0,1338.0027622253526,-0.11764705882352941,3912207.3856209144,390866228.8888889
12,A0A2I3BR81,Nt5dc2,10min,25,4646780.0,12,30734228.888888884,15.0,26.0,93.48422488309171,-0.75,387231.6666666667,77596979.99999999
13,A0A2I3BR81,Nt5dc2,10min,30,7865720.0,12,51068079.99999999,26.0,37.0,158.2430709754781,0.25,655476.6666666666,77596979.99999999
14,A0A494B9V8,Ptar1,10min,33,1277401.222222222,8,4751776.0,29.0,36.0,25.698841590124434,-0.125,159675.15277777775,4751776.0
15,A0A494BB10,Asdurf,10min,17,11254927.777777776,11,69992658.88888888,12.0,22.0,226.42737539128888,0.0,1023175.2525252524,130837711.88888888
16,A0A494BB10,Asdurf,10min,26,8514982.888888888,12,39218813.44444444,22.0,33.0,171.30498436779163,0.25,709581.9074074073,130837711.88888888
17,A0A5F8MPI9,Rapgef1,10min,9,1599332.7777777775,11,8627732.799999999,4.0,14.0,32.175481744493496,0.0,145393.88888888888,10410827.28888889
18,A0A5F8MPI9,Rapgef1,10min,15,285789.8,4,762106.1333333333,14.0,17.0,5.749537945091828,0.25,71447.45,10410827.28888889
19,A0A5F8MPI9,Rapgef1,10min,31,310566.0,7,931698.0,28.0,34.0,6.247987162086921,0.0,44366.57142857143,10410827.28888889
20,A0A5F8MPI9,Rapgef1,10min,38,104931.33333333331,3,244839.77777777775,37.0,39.0,2.1110154478189176,0.0,34977.1111111111,10410827.28888889
21,A0AAA9WW07,Akap17a,10min,5,4133253.666666666,12,25634442.11111111,1.0,12.0,83.15306842018128,0.25,344437.8055555555,27433530.11111111
22,A0AAA9WW07,Akap17a,10min,33,303480.5555555555,8,1531744.9999999998,29.0,36.0,6.10544172592659,-0.125,37935.06944444444,27433530.11111111
23,A1L314,Mpeg1,10min,3,148734614.66666666,12,839150283.1111109,1.0,12.0,2992.252735313197,0.5833333333333334,12394551.222222222,988502821.3333331
24,A1L3P4,Slc9a6,10min,3,2457417.777777777,11,12105940.555555554,1.0,11.0,49.43849206751454,0.5454545454545454,223401.61616161608,25603901.666666664
25,A2A432,Cul4b,10min,9,13044404.444444442,18,137191193.3333333,1.0,18.0,262.4281843664743,0.05555555555555555,724689.135802469,170229986.9999999
26,A2A484,Zmynd8,10min,8,4337426.666666666,14,30494198.888888884,1.0,14.0,87.26063422855945,-0.07142857142857142,309816.1904761904,30494198.888888884
27,A2A5R2,Arfgef2,10min,5,47682633.33333333,14,375418164.44444436,1.0,14.0,959.2823455277285,0.35714285714285715,3405902.3809523806,424887353.6666667
28,A2A654,Bptf,10min,8,2849951.5555555555,17,22082013.333333336,1.0,17.0,57.3355123602737,0.11764705882352941,167644.2091503268,49746803.66666666
29,A2A654,Bptf,10min,31,2508005.5555555555,15,21703070.22222222,21.0,35.0,50.45622029956205,-0.4,167200.37037037036,49746803.66666666
30,A2A654,Bptf,10min,37,1371449.7777777775,6,6362769.111111111,35.0,40.0,27.590916600666247,0.16666666666666666,228574.96296296292,49746803.66666666
