peak_id,protein_id,genes,time,peak_apex,peak_height,peak_width,peak_area,peak_left,peak_right,snr,asymmetry,sharpness,peak_background_intensity
0,A0A0B4J1G0,Fcgr4,30min,6,40776186.66666666,14,327902105.55555546,1.0,14.0,1011.931483440965,0.21428571428571427,2912584.761904761,421560363.33333313
1,A0A0B4J1G0,Fcgr4,30min,20,9792621.11111111,10,70266967.77777776,16.0,25.0,243.02080252743872,0.1,979262.111111111,421560363.33333313
2,A0A0G2JDV3,Gbp6,30min,32,15291423.888888888,13,74329269.99999999,25.0,37.0,379.4830886542263,-0.15384615384615385,1176263.376068376,74329269.99999999
3,A0A0G2JG52,Crybg1,30min,24,7841118.888888888,17,49153604.99999999,14.0,30.0,194.5909050773664,-0.23529411764705882,461242.2875816993,49153604.99999999
4,A0A140LIF8,Irgm2,30min,7,10106313.333333332,16,75097560.33333334,1.0,16.0,250.80561669783097,0.1875,631644.5833333333,76811800.33333336
5,A0A1L1SSC7,Ttc13,30min,5,2925118.0,14,20447263.11111111,1.0,14.0,72.59185419120121,0.35714285714285715,208937.0,22866962.44444444
6,A0A1L1SSC7,Ttc13,30min,34,694933.3333333333,7,2084799.9999999998,31.0,37.0,17.24597066030798,0.0,99276.19047619046,22866962.44444444
7,A0A286YCV9,Kif13b,30min,7,9694247.777777776,14,82333758.77777778,1.0,14.0,240.57949839214032,0.07142857142857142,692446.2698412697,325176791.3333332
8,A0A286YCV9,Kif13b,30min,23,14948501.111111108,13,117456770.99999999,14.0,26.0,370.9728677731247,-0.46153846153846156,1149884.7008547005,325176791.3333332
9,A0A286YCV9,Kif13b,30min,30,22110330.0,14,140890002.22222224,26.0,39.0,548.7060185193698,0.35714285714285715,1579309.2857142857,325176791.3333332
10,A0A286YCX6,Trappc8,30min,10,43721244.99999999,18,279699636.2777778,1.0,18.0,1085.0181914363059,-0.05555555555555555,2428958.055555555,281148250.27777785
11,A0A2I3BR81,Nt5dc2,30min,21,2401819.9999999995,10,12562023.333333332,14.0,23.0,59.605310703195855,-0.5,240181.99999999994,53765980.00000001
12,A0A2I3BR81,Nt5dc2,30min,30,7256519.999999999,12,40861896.66666667,23.0,34.0,180.08307417872896,-0.25,604709.9999999999,53765980.00000001
13,A0A2I3BR81,Nt5dc2,30min,37,717063.3333333333,7,2151189.9999999995,34.0,40.0,17.795164823843017,0.0,102437.61904761904,53765980.00000001
14,A0A494BB10,Asdurf,30min,17,7335955.555555555,11,41997935.77777777,12.0,22.0,182.05440465718692,0.0,666905.0505050505,79829072.99999999
15,A0A494BB10,Asdurf,30min,26,5789739.999999999,10,27611328.999999996,22.0,31.0,143.6823956794103,0.1,578973.9999999999,79829072.99999999
16,A0A571BF58,Neb,30min,7,275193.0,7,825579.0,4.0,10.0,6.8293894914458955,0.0,39313.28571428572,5163218.88888889
17,A0A571BF58,Neb,30min,17,196384.3333333333,7,1020693.2222222222,14.0,20.0,4.873616343261909,0.0,28054.90476190476,5163218.88888889
18,A0A571BF58,Neb,30min,23,263805.44444444444,6,1113453.111111111,20.0,25.0,6.546787636586333,-0.16666666666666666,43967.57407407407,5163218.88888889
19,A0A571BF58,Neb,30min,28,432668.6666666666,9,2210953.222222222,25.0,33.0,10.737420084854048,0.2222222222222222,48074.29629629629,5163218.88888889
20,A0A571BF58,Neb,30min,38,89273.55555555553,4,223183.88888888885,37.0,40.0,2.215477436472302,0.25,22318.388888888883,5163218.88888889
21,A0A7N9VSG0,Afg2b,30min,3,1552503.222222222,6,5899285.111111111,1.0,6.0,38.5280482834968,0.16666666666666666,258750.537037037,9277102.333333334
22,A1L314,Mpeg1,30min,4,186231677.77777776,13,978943941.111111,1.0,13.0,4621.660664297034,0.46153846153846156,14325513.675213674,1164477908.8888886
23,A2A432,Cul4b,30min,9,7193313.333333332,14,59278833.33333332,1.0,14.0,178.51449160169156,-0.21428571428571427,513808.09523809515,136066304.0
24,A2A432,Cul4b,30min,24,8508314.444444444,15,61469575.111111104,18.0,32.0,211.14851488521222,0.13333333333333333,567220.9629629629,136066304.0
