peak_id,protein_id,genes,time,peak_apex,peak_height,peak_width,peak_area,peak_left,peak_right,snr,asymmetry,sharpness,peak_background_intensity
0,A0A0B4J1G0,Fcgr4,30min,6,42838015.55555555,14,331101470.6666665,1.0,14.0,1058.7309267456158,0.21428571428571427,3059858.2539682537,408628201.7777777
1,A0A0B4J1G0,Fcgr4,30min,17,8821387.777777776,9,48852453.33333331,14.0,22.0,218.0184104241939,0.2222222222222222,980154.197530864,408628201.7777777
2,A0A0B4J1G0,Fcgr4,30min,26,6269084.444444444,13,34567912.222222224,22.0,34.0,154.938866743383,0.3076923076923077,482237.26495726494,408628201.7777777
3,A0A0G2JDV3,Gbp6,30min,31,16779347.222222216,13,76974190.0,26.0,38.0,414.697403798527,0.15384615384615385,1290719.0170940165,76974190.0
4,A0A0G2JG52,Crybg1,30min,22,6489134.444444444,16,40670807.0,13.0,28.0,160.37734790104156,-0.1875,405570.90277777775,40670807.0
5,A0A140LIF8,Irgm2,30min,10,8195539.999999998,16,73303852.22222222,1.0,16.0,202.5507378633808,-0.1875,512221.2499999999,84711767.77777778
6,A0A1L1SSC7,Ttc13,30min,7,2150935.6666666665,14,15007780.33333333,1.0,14.0,53.159841374698466,0.07142857142857142,153638.2619047619,15007780.33333333
7,A0A286YCV9,Kif13b,30min,7,10907470.055555556,12,72306750.05555555,1.0,12.0,269.57541638202116,-0.08333333333333333,908955.837962963,282820087.111111
8,A0A286YCV9,Kif13b,30min,21,12623000.444444444,15,107220204.5,12.0,26.0,311.97432433640813,-0.26666666666666666,841533.362962963,282820087.111111
9,A0A286YCV9,Kif13b,30min,31,17364950.666666664,14,109439081.05555555,26.0,39.0,429.1704476452485,0.21428571428571427,1240353.619047619,282820087.111111
10,A0A286YCX6,Trappc8,30min,10,33807177.22222222,17,267672794.44444442,1.0,17.0,835.5359978035849,-0.11764705882352941,1988657.4836601303,268686164.6666666
11,A0A2I3BR81,Nt5dc2,30min,30,9284308.888888888,17,70127654.88888888,23.0,39.0,229.45939083891847,0.11764705882352941,546135.816993464,81554288.1111111
12,A0A494BB10,Asdurf,30min,10,2044654.6666666665,10,12329990.555555554,4.0,13.0,50.5331328270179,-0.3,204465.46666666665,72236001.0
13,A0A494BB10,Asdurf,30min,18,7261603.333333332,10,37869266.0,13.0,22.0,179.46872484764302,-0.1,726160.3333333333,72236001.0
14,A0A494BB10,Asdurf,30min,25,5255683.0,12,24391980.666666664,22.0,33.0,129.89290145933361,0.4166666666666667,437973.5833333333,72236001.0
15,A0AAA9WW07,Akap17a,30min,5,3578075.555555555,14,22945601.111111104,1.0,14.0,88.43124966856412,0.35714285714285715,255576.82539682536,23440220.499999996
16,A1L314,Mpeg1,30min,4,210266172.2222222,13,1088966273.888889,1.0,13.0,5196.676281406694,0.46153846153846156,16174320.94017094,1145084263.0000002
17,A1L3P4,Slc9a6,30min,3,3991152.222222222,9,13930917.333333332,1.0,9.0,98.64033700478349,0.4444444444444444,443461.35802469135,31878016.22222222
18,A2A432,Cul4b,30min,8,8088623.333333332,16,79311338.8888889,1.0,16.0,199.90831897173652,0.0625,505538.95833333326,141790999.3333333
19,A2A432,Cul4b,30min,21,7528951.111111109,15,64265338.666666664,16.0,30.0,186.0761588489442,0.26666666666666666,501930.0740740739,141790999.3333333
20,A2A5R2,Arfgef2,30min,6,26032105.555555552,15,174550969.22222224,1.0,15.0,643.3770304842869,0.26666666666666666,1735473.7037037036,194147433.11111102
21,A2A5R2,Arfgef2,30min,36,3702361.111111111,8,13553709.999999996,33.0,40.0,91.50293634003886,0.125,462795.1388888889,194147433.11111102
22,A2A6A1,Gpatch8,30min,13,530110.4444444444,11,3180297.6666666665,7.0,17.0,13.101548119014362,-0.18181818181818182,48191.85858585858,5279248.8444444435
23,A2A6A1,Gpatch8,30min,25,257312.82222222225,7,823802.5777777778,22.0,28.0,6.359422564324017,0.0,36758.97460317461,5279248.8444444435
24,A2A716,Osbpl7,30min,17,1172783.0,7,5813810.11111111,14.0,20.0,28.98504088853564,0.0,167540.42857142858,8729552.0
25,A2A9C3,Szt2,30min,5,1893155.6666666665,11,9860266.999999998,1.0,11.0,46.7888726274991,0.18181818181818182,172105.06060606058,10484609.999999996
26,A2A9C3,Szt2,30min,31,208114.3333333333,5,624343.0,29.0,33.0,5.143494117118855,0.0,41622.86666666666,10484609.999999996
27,A2AAY5,Sh3pxd2b,30min,21,18075134.44444444,15,125746342.77777776,11.0,25.0,446.7224635230908,-0.4,1205008.9629629627,810793132.3333333
28,A2AAY5,Sh3pxd2b,30min,36,107070656.6111111,9,500045888.4444444,32.0,40.0,2646.224714917776,0.0,11896739.62345679,810793132.3333333
29,A2AB59,Arhgap27,30min,22,3574052.222222222,8,16196636.666666664,18.0,25.0,88.33181398338206,-0.125,446756.52777777775,49204929.99999999
30,A2AB59,Arhgap27,30min,29,7607634.444444444,9,35391057.777777776,25.0,33.0,188.02079791168043,0.0,845292.7160493827,49204929.99999999
31,A2ABV5,Med14,30min,4,8660174.444444444,12,44113723.333333336,1.0,12.0,214.0340628863768,0.4166666666666667,721681.2037037037,44113723.333333336
32,A2ADA5,Pusl1,30min,6,1860308.1111111103,15,14228181.222222222,1.0,15.0,45.97705344111403,0.26666666666666666,124020.54074074069,44384529.22222223
33,A2ADA5,Pusl1,30min,31,5940077.777777777,17,29248290.111111104,21.0,37.0,146.80754860018502,-0.23529411764705882,349416.339869281,44384529.22222223
34,A2ADY9,Ddi2,30min,27,90262766.66666666,20,980461241.1111113,17.0,36.0,2230.8218848207084,-0.05,4513138.333333333,1104480731.111111
35,A2AF47,Dock11,30min,5,20348158.888888888,14,180320823.3333333,1.0,14.0,502.8996987514863,0.35714285714285715,1453439.9206349205,186711569.44444445
36,A2AGH6,Med12,30min,5,9147392.22222222,14,44318214.66666665,1.0,14.0,226.07552938999282,0.35714285714285715,653385.1587301586,44318214.66666665
37,A2AGT5,Ckap5,30min,6,48680988.88888888,15,326953096.6666666,1.0,15.0,1203.1385630920583,0.26666666666666666,3245399.259259259,352572346.6666667
38,A2AIV2,Virma,30min,10,11595510.0,14,65704489.99999999,3.0,16.0,286.58015291270755,-0.07142857142857142,828250.7142857143,65704489.99999999
39,A2AIV8,Card9,30min,9,21220700.0,18,193494487.22222218,1.0,18.0,524.4643358433301,0.05555555555555555,1178927.7777777778,199505454.99999997
40,A2AJ15,Man1b1,30min,5,11027841.11111111,14,68002313.33333333,1.0,14.0,272.55035715714655,0.35714285714285715,787702.9365079365,69664464.33333333
41,A2AJ72,Fubp3,30min,8,5268320.0,13,36076823.33333332,1.0,13.0,130.20522177921242,-0.15384615384615385,405255.3846153846,169859636.6666666
42,A2AJ72,Fubp3,30min,18,2236488.888888889,8,11558671.11111111,15.0,22.0,55.27426803696855,0.125,279561.1111111111,169859636.6666666
43,A2AJ72,Fubp3,30min,32,16224013.333333332,19,122616013.3333333,22.0,40.0,400.9724645077683,-0.10526315789473684,853895.4385964911,169859636.6666666
44,A2AJ88,Pnpla7,30min,5,16647575.555555554,14,123513418.33333333,1.0,14.0,411.4406997481752,0.35714285714285715,1189112.5396825396,137411842.22222224
45,A2AJI0,Map7d1,30min,3,1332517.333333333,7,4121422.888888888,1.0,7.0,32.9328353082788,0.2857142857142857,190359.619047619,78541567.88888888
46,A2AJI0,Map7d1,30min,21,11441501.111111112,20,74302713.88888888,11.0,30.0,282.77386143197975,-0.05,572075.0555555556,78541567.88888888
47,A2AJQ3,Dpy19l4,30min,3,8213043.333333333,9,33822427.77777778,1.0,9.0,202.98332840430132,0.4444444444444444,912560.3703703703,33822427.77777778
48,A2AJT4,Pnisr,30min,17,3764827.888888889,17,29861923.22222221,8.0,24.0,93.04678725539488,-0.11764705882352941,221460.4640522876,50965120.999999985
49,A2AJT4,Pnisr,30min,30,3169358.888888889,12,20102323.33333333,26.0,37.0,78.32991865066967,0.25,264113.24074074073,50965120.999999985
50,A2AJW4,Ppp1r3d,30min,31,22411637.777777776,15,115969191.77777778,25.0,39.0,553.8980675606134,0.13333333333333333,1494109.1851851852,119914592.68888889
51,A2ALW5,Dnajc25,30min,5,8148471.777777776,14,43318296.88888889,1.0,14.0,201.38745842834314,0.35714285714285715,582033.6984126983,47038366.888888896
