protein_id,genes,time,fraction,intensity
A1L314,Mpeg1,10min,1,2046144.0
A2AJI0,Map7d1,10min,1,171763.0
A9XX86,Mgl2,10min,1,2426251.0000000075
B9EJ86,Osbpl8,10min,1,644952.0
D3YZZ5,Tmed7,10min,1,5875530.0
D3Z286,Tmppe,10min,1,752242.9999999995
D3Z2H9,Tpm3-rs7,10min,1,12692455.0
E9PVZ8,Golgb1,10min,1,1286599.999999985
E9Q0F0,Krt78,10min,1,10648621.499999996
E9Q5C9,Nolc1,10min,1,114225.0
E9Q616,Ahnak,10min,1,400564.00000000186
E9Q634,Myo1e,10min,1,6432840.0
E9Q7G0,Numa1,10min,1,649204.9999999851
E9QAM5,Helz2,10min,1,89328.99999999988
F6ZDS4,Tpr,10min,1,553014.0
G5E829,Atp2b1,10min,1,2702199.0
O08547,Sec22b,10min,1,8630230.000000004
O08553,Dpysl2,10min,1,391798.0
O08585,Clta,10min,1,15521950.00000003
O08756,Hsd17b10,10min,1,798774.9999999999
O08912,Galnt1,10min,1,4673690.0
O08992,Sdcbp,10min,1,168411.99999999907
O09005,Degs1,10min,1,762336.9999999981
O09043,Napsa,10min,1,524259.0
O09044,Snap23,10min,1,284958.0
O09106,Hdac1,10min,1,385638.99999999907
O09117,Sypl1,10min,1,1838730.0
O09159,Man2b1,10min,1,676011.9999999999
O09167,Rpl21,10min,1,12457905.0
O35114,Scarb2,10min,1,261258.99999999255
O35129,Phb2,10min,1,9328390.0
O35143,Atp5if1,10min,1,268770.99999999994
O35166,Gosr2,10min,1,1150450.0
O35286,Dhx15,10min,1,454267.0
O35593,Psmd14,10min,1,183962.0
O35604,Npc1,10min,1,9276049.999999993
O35609,Scamp3,10min,1,577776.5000000037
O54734,Ddost,10min,1,9187234.000000015
O54941,Smarce1,10min,1,693675.0
O55013,Trappc3,10min,1,787102.0000000019
O55022,Pgrmc1,10min,1,8088335.0
O55106,Strn,10min,1,1369238.0
O55142,Rpl35a,10min,1,30535895.000000004
O55143,Atp2a2,10min,1,5276420.000000015
O70145,Ncf2,10min,1,704789.9999999998
O70251,Eef1b,10min,1,767361.0
O70252,Hmox2,10min,1,892205.0
O70370,Ctss,10min,1,782570.0
O70378,Emc8,10min,1,3168859.5
O70404,Vamp8,10min,1,7918084.999999993
O70439,Stx7,10min,1,11596680.0
O70496,Clcn7,10min,1,9025069.999999998
O70503,Hsd17b12,10min,1,13710339.999999993
O88307,Sorl1,10min,1,130503.0
O88325,Naglu,10min,1,210835.00000000093
O88384,Vti1b,10min,1,2217306.999999998
O88455,Dhcr7,10min,1,5494350.0
O88783,F5,10min,1,1178960.0000000005
O88844,Idh1,10min,1,658364.0000000009
O88855,Ltb4r,10min,1,1342551.0
O88983,Stx8,10min,1,1260077.0
O89079,Cope,10min,1,127950.99999999907
O89086,Rbm3,10min,1,743727.0
P00405,Mtco2,10min,1,3142680.0
P01887,B2m,10min,1,48768199.999999985
P01897,H2-L,10min,1,1524350.0000000075
P01901,H2-K1,10min,1,6294382.5
P01910,H2-Aa,10min,1,439278.99999999977
P03930,Mtatp8,10min,1,3723999.9999999963
P04104,Krt1,10min,1,121877900.0
P04230,H2-Eb1,10min,1,2007480.0
P04441,Cd74,10min,1,3050924.0
P05064,Aldoa,10min,1,1716430.0
P05555,Itgam,10min,1,12575601.0
P06745,Gpi,10min,1,539220.0
P06800,Ptprc,10min,1,4307070.0
P07901,Hsp90aa1,10min,1,3452466.0
P08113,Hsp90b1,10min,1,1157749.9999999925
P08249,Mdh2,10min,1,2428440.0
P08556,Nras,10min,1,259890.0
P08752,Gnai2,10min,1,15480299.999999996
P08905,Lyz2,10min,1,262447.99999999977
P09055,Itgb1,10min,1,234095.00000000373
P09405,Ncl,10min,1,964604.0
P09581,Csf1r,10min,1,625167.9999999963
P09925,Surf1,10min,1,56859.79999999958
P0C0A3,Chmp6,10min,1,352751.0
P10126,Eef1a1,10min,1,16683297.500000015
P10605,Ctsb,10min,1,2409082.5
P10833,Rras,10min,1,773718.0
P10852,Slc3a2,10min,1,1400015.0000000075
P10853,H2bc7,10min,1,22772680.0
P11152,Lpl,10min,1,1612383.0
P11438,Lamp1,10min,1,1232829.0
P11499,Hsp90ab1,10min,1,5181660.0
P11835,Itgb2,10min,1,32966400.0
P11983,Tcp1,10min,1,175573.99999999814
P12023,App,10min,1,214115.0
P12382,Pfkl,10min,1,288794.0
P12787,Cox5a,10min,1,1017077.0
P12970,Rpl7a,10min,1,118231999.99999994
P13020,Gsn,10min,1,59985000.0
P13597,Icam1,10min,1,775252.0
P14115,Rpl27a,10min,1,16956940.0
P14131,Rps16,10min,1,56805900.0
P14148,Rpl7,10min,1,22740030.0
P14211,Calr,10min,1,519761.0000000001
P14869,Rplp0,10min,1,25228360.0
P14901,Hmox1,10min,1,3038330.0
P15379,Cd44,10min,1,6912709.999999996
P15535,B4galt1,10min,1,931818.0
P15702,Spn,10min,1,175213.5
P15864,H1-2,10min,1,34938290.0
P16254,Srp14,10min,1,296190.0
P16546,Sptan1,10min,1,782877.0
P16858,Gapdh,10min,1,8769130.00000003
P17047,Lamp2,10min,1,3769440.0
P17182,Eno1,10min,1,1279854.0
P17439,Gba1,10min,1,1035920.0
P17742,Ppia,10min,1,1203951.0
P17809,Slc2a1,10min,1,86910.10000000033
P18242,Ctsd,10min,1,1473230.0
P19253,Rpl13a,10min,1,4826060.0
P19783,Cox4i1,10min,1,2648106.500000001
P19973,Lsp1,10min,1,10210300.000000015
P20029,Hspa5,10min,1,27264119.99999997
P20152,Vim,10min,1,4794380.0
P20491,Fcer1g,10min,1,24252040.000000015
P21279,Gnaq,10min,1,139857.0
P21956,Mfge8,10min,1,1256449.9999999981
P21958,Tap1,10min,1,909619.0
P21981,Tgm2,10min,1,94116.79999999999
