protein_id,genes,time,fraction,intensity
A0A0B4J1G0,Fcgr4,30min,1,618224.0
A1L314,Mpeg1,30min,1,11819550.0
A2A5R2,Arfgef2,30min,1,20964.700000000186
A2AJ15,Man1b1,30min,1,460630.0
A2BDX3,Mocs3,30min,1,1516690.0
A9XX86,Mgl2,30min,1,9196744.999999996
B9EJ86,Osbpl8,30min,1,2869070.000000001
D3YZZ5,Tmed7,30min,1,18858185.0
D3Z286,Tmppe,30min,1,768313.5
D3Z2H9,Tpm3-rs7,30min,1,1363101.0
D4AFX7,Dnajc13,30min,1,1126095.0
E2JF22,Piezo1,30min,1,92472.79999999993
E9PVZ8,Golgb1,30min,1,1978627.0000000075
E9Q0F0,Krt78,30min,1,3388339.999999999
E9Q411,Nbas,30min,1,103353.0
E9Q634,Myo1e,30min,1,1045020.0
E9Q8I7,Nfxl1,30min,1,93648.09999999998
G5E829,Atp2b1,30min,1,6316119.999999996
O08547,Sec22b,30min,1,14735655.499999996
O08553,Dpysl2,30min,1,1203330.0
O08585,Clta,30min,1,10922500.000000015
O08692,Ngp,30min,1,959826.9999999998
O08807,Prdx4,30min,1,450914.99999999994
O08832,Galnt4,30min,1,710588.9999999998
O08912,Galnt1,30min,1,10436150.000000007
O09005,Degs1,30min,1,5237880.0
O09044,Snap23,30min,1,1296904.0
O09117,Sypl1,30min,1,8875629.999999996
O09126,Sema4d,30min,1,91167.19999999972
O09159,Man2b1,30min,1,293923.99999999994
O09167,Rpl21,30min,1,611644.9999999963
O09172,Gclm,30min,1,1536259.9999999998
O35114,Scarb2,30min,1,5189764.999999993
O35129,Phb2,30min,1,26195199.999999996
O35166,Gosr2,30min,1,1503080.4999999995
O35465,Fkbp8,30min,1,3225220.0
O35516,Notch2,30min,1,42451.19999999995
O35593,Psmd14,30min,1,138534.0
O35598,Adam10,30min,1,351429.0
O35604,Npc1,30min,1,18545274.999999996
O35609,Scamp3,30min,1,2335044.0
O35704,Sptlc1,30min,1,461168.0
O54734,Ddost,30min,1,29210944.99999997
O55013,Trappc3,30min,1,664686.0
O55022,Pgrmc1,30min,1,17262384.999999996
O55029,Copb2,30min,1,454304.0
O55106,Strn,30min,1,1394158.0
O55128,Sap18,30min,1,186826.0
O55142,Rpl35a,30min,1,542716.0000000019
O55143,Atp2a2,30min,1,10165489.999999993
O70152,Dpm1,30min,1,1155791.0
O70251,Eef1b,30min,1,408259.99999999907
O70252,Hmox2,30min,1,2314080.0
O70309,Itgb5,30min,1,1677129.999999999
O70378,Emc8,30min,1,3644621.5
O70404,Vamp8,30min,1,18972584.999999993
O70439,Stx7,30min,1,13441530.0
O70480,Vamp4,30min,1,1496903.0
O70496,Clcn7,30min,1,13093450.0
O70503,Hsd17b12,30min,1,36217270.0
O88188,Ly86,30min,1,3592819.9999999995
O88342,Wdr1,30min,1,2135346.0
O88384,Vti1b,30min,1,4864198.0
O88455,Dhcr7,30min,1,18516669.999999993
O88783,F5,30min,1,1095810.0000000005
O88839,Adam15,30min,1,282103.9999999999
O88855,Ltb4r,30min,1,1613577.9999999993
O88876,Dhrs3,30min,1,321951.99999999907
O88967,Yme1l1,30min,1,1626394.9999999995
O88983,Stx8,30min,1,2675418.0
O89016,Abcd4,30min,1,105816.0
O89051,Itm2b,30min,1,616815.0
O89086,Rbm3,30min,1,176028.0
P00405,Mtco2,30min,1,9062739.999999996
P01887,B2m,30min,1,91149480.0
P01897,H2-L,30min,1,3610329.5
P01901,H2-K1,30min,1,14062686.0
P01910,H2-Aa,30min,1,1219190.0
P03930,Mtatp8,30min,1,3797830.0
P04230,H2-Eb1,30min,1,10108289.999999998
P04441,Cd74,30min,1,16057840.0
P05063,Aldoc,30min,1,2057820.0
P05064,Aldoa,30min,1,2742558.999999999
P05555,Itgam,30min,1,36648030.0
P06800,Ptprc,30min,1,18842810.000000007
P07901,Hsp90aa1,30min,1,3112573.9999999963
P08113,Hsp90b1,30min,1,2786120.0
P08249,Mdh2,30min,1,1626006.9999999995
P08556,Nras,30min,1,793236.0
P08752,Gnai2,30min,1,26935899.999999996
P09055,Itgb1,30min,1,2308537.0
P09405,Ncl,30min,1,331759.99999999994
P09411,Pgk1,30min,1,959484.9999999999
P09581,Csf1r,30min,1,1823206.9999999981
P0C0A3,Chmp6,30min,1,800340.0
P10126,Eef1a1,30min,1,13394841.0
P10649,Gstm1,30min,1,714243.9999999999
P10810,Cd14,30min,1,183341.49999999953
P10833,Rras,30min,1,3903569.999999999
P10852,Slc3a2,30min,1,1212362.0
P10853,H2bc7,30min,1,3722199.999999998
P11352,Gpx1,30min,1,176206.99999999953
P11438,Lamp1,30min,1,14904903.0
P11499,Hsp90ab1,30min,1,4509960.0
P11688,Itga5,30min,1,252331.99999999907
P11835,Itgb2,30min,1,121552800.00000001
P11928,Oas1a,30min,1,324254.0
P12787,Cox5a,30min,1,1694599.999999999
P12970,Rpl7a,30min,1,5513639.999999985
P13020,Gsn,30min,1,68698850.00000006
P13597,Icam1,30min,1,3243608.499999998
