,protein_id,CCprofiler_count,SPADE_count,highest_count_group
0,A0A087WQ44,0.0,1.0,SPADE
1,A0A0B4J1G0,0.0,2.4,SPADE
3,A0A0G2JG52,1.0,1.1666666666666667,SPADE
4,A0A140LIF8,1.0,1.1666666666666667,SPADE
5,A0A1L1SSC7,1.0,1.8,SPADE
6,A0A286YCV9,1.0,3.0,SPADE
7,A0A286YCX6,1.6666666666666667,1.5,CCprofiler
8,A0A2I3BR81,0.0,2.0,SPADE
9,A0A494B9V8,0.0,1.0,SPADE
10,A0A494BB10,1.0,2.6666666666666665,SPADE
11,A0A571BF58,0.0,5.0,SPADE
12,A0A5F8MPI9,2.0,4.0,SPADE
13,A0A7N9VSG0,0.0,1.0,SPADE
14,A0AAA9WW07,1.0,1.6666666666666667,SPADE
15,A1L314,1.5,1.1666666666666667,CCprofiler
16,A1L3P4,1.6666666666666667,1.5,CCprofiler
17,A2A432,0.0,1.8333333333333333,SPADE
18,A2A484,0.0,1.0,SPADE
19,A2A5R2,1.6,1.5,CCprofiler
20,A2A654,0.0,3.0,SPADE
21,A2A6A1,1.0,2.0,SPADE
22,A2A716,0.0,1.5,SPADE
23,A2A8Z1,0.0,3.0,SPADE
24,A2A9C3,0.0,1.25,SPADE
25,A2AAE1,1.0,0.0,CCprofiler
26,A2AAY5,1.0,1.8333333333333333,SPADE
27,A2AB59,1.5,2.0,SPADE
29,A2ADA5,0.0,2.0,SPADE
30,A2ADY9,1.6,1.0,CCprofiler
31,A2AF47,1.5,1.1666666666666667,CCprofiler
32,A2AGH6,2.0,1.0,CCprofiler
33,A2AGT5,3.0,1.3333333333333333,CCprofiler
34,A2AIV2,1.1666666666666667,1.0,CCprofiler
35,A2AIV8,1.0,1.1666666666666667,SPADE
36,A2AJ15,0.0,1.0,SPADE
37,A2AJ72,1.0,2.1666666666666665,SPADE
39,A2AJI0,1.0,1.6666666666666667,SPADE
41,A2AJT4,0.0,2.3333333333333335,SPADE
43,A2ALW5,1.0,1.6,SPADE
44,A2AN08,2.6666666666666665,1.0,CCprofiler
45,A2APV2,1.0,1.5,SPADE
47,A2AQ19,0.0,1.8333333333333333,SPADE
48,A2AR02,1.0,1.1666666666666667,SPADE
49,A2AT37,1.0,1.1666666666666667,SPADE
50,A2AWA9,1.5,1.1666666666666667,CCprofiler
51,A2BDX3,0.0,2.5,SPADE
52,A2BE28,1.0,1.3333333333333333,SPADE
53,A2BH40,1.3333333333333333,1.0,CCprofiler
55,A2RSY6,1.0,1.6,SPADE
56,A2RT67,1.0,1.6666666666666667,SPADE
58,A2RTL5,1.0,1.5,SPADE
