,group,time,protein_id,count
0,CCprofiler,10minR1,A0A1L1SSC7,1
1,CCprofiler,10minR1,A0A286YCX6,3
2,CCprofiler,10minR1,A0A5F8MPI9,2
3,CCprofiler,10minR1,A1L314,2
4,CCprofiler,10minR1,A1L3P4,1
5,CCprofiler,10minR1,A2A5R2,1
6,CCprofiler,10minR1,A2ABV5,1
7,CCprofiler,10minR1,A2AF47,1
8,CCprofiler,10minR1,A2AGT5,3
9,CCprofiler,10minR1,A2AIV2,1
10,CCprofiler,10minR1,A2AIV8,1
11,CCprofiler,10minR1,A2AJ72,1
12,CCprofiler,10minR1,A2AJQ3,1
13,CCprofiler,10minR1,A2AN08,2
14,CCprofiler,10minR1,A2AWA9,1
15,CCprofiler,10minR1,A2BE28,1
16,CCprofiler,10minR1,A2BH40,2
17,CCprofiler,10minR1,A2RSX7,1
18,CCprofiler,10minR1,A2RSY6,1
19,CCprofiler,10minR1,A2RT67,1
20,CCprofiler,10minR1,A2RTH5,1
21,CCprofiler,10minR1,A3KGF7,2
22,CCprofiler,10minR1,A3KMP2,1
23,CCprofiler,10minR1,A6H5Y3,1
24,CCprofiler,10minR1,A6H5Z3,1
25,CCprofiler,10minR1,A6H630,1
26,CCprofiler,10minR1,A6H6A9,1
27,CCprofiler,10minR1,A6X919,1
28,CCprofiler,10minR1,A8C756,1
29,CCprofiler,10minR1,A9XX86,1
30,CCprofiler,10minR1,B1AUN2,3
31,CCprofiler,10minR1,B1AUY3,1
32,CCprofiler,10minR1,B1AY10,1
33,CCprofiler,10minR1,B1AY13,1
34,CCprofiler,10minR1,B1AZI6,2
35,CCprofiler,10minR1,B2RQC6,4
36,CCprofiler,10minR1,B2RXC1,2
37,CCprofiler,10minR1,B2RXC6,1
38,CCprofiler,10minR1,B2RXR6,2
39,CCprofiler,10minR1,B8ZXI1,1
40,CCprofiler,10minR1,B9EJ54,1
41,CCprofiler,10minR1,B9EJ86,1
42,CCprofiler,10minR1,B9EKI3,1
43,CCprofiler,10minR1,D0QMC3,1
44,CCprofiler,10minR1,D3YUE4,1
45,CCprofiler,10minR1,D3Z0M9,1
46,CCprofiler,10minR1,D3Z3N4,1
47,CCprofiler,10minR1,D3Z5S8,1
48,CCprofiler,10minR1,D3Z7P3,1
49,CCprofiler,10minR1,D4AFX7,1
50,CCprofiler,10minR1,E0CZ22,2
51,CCprofiler,10minR1,E2JF22,1
52,CCprofiler,10minR1,E9PVA8,2
53,CCprofiler,10minR1,E9PVZ8,2
54,CCprofiler,10minR1,E9PWG6,1
55,CCprofiler,10minR1,E9PWR4,1
56,CCprofiler,10minR1,E9PY16,1
57,CCprofiler,10minR1,E9PYG6,1
58,CCprofiler,10minR1,E9PYK3,1
59,CCprofiler,10minR1,E9PYP2,1
60,CCprofiler,10minR1,E9Q2E4,1
61,CCprofiler,10minR1,E9Q2M9,2
62,CCprofiler,10minR1,E9Q3L2,2
63,CCprofiler,10minR1,E9Q411,1
64,CCprofiler,10minR1,E9Q4N7,1
65,CCprofiler,10minR1,E9Q512,1
66,CCprofiler,10minR1,E9Q555,3
67,CCprofiler,10minR1,E9Q634,3
68,CCprofiler,10minR1,E9Q6R7,2
69,CCprofiler,10minR1,E9Q735,1
70,CCprofiler,10minR1,E9Q7E2,1
71,CCprofiler,10minR1,E9Q7G0,3
72,CCprofiler,10minR1,E9Q8I7,1
73,CCprofiler,10minR1,E9QAT4,2
74,CCprofiler,10minR1,F6ZDS4,2
75,CCprofiler,10minR1,F8VPN4,4
