,protein_id,CCprofiler_count,SPADE_count
2,A0A0G2JDV3,1.0,1.0
28,A2ABV5,1.0,1.0
38,A2AJ88,1.0,1.0
40,A2AJQ3,1.0,1.0
42,A2AJW4,1.0,1.0
46,A2APY7,1.0,1.0
54,A2RSX7,1.0,1.0
57,A2RTH5,1.0,1.0
59,A3KGF7,2.0,2.0
60,A3KMP2,1.0,1.0
62,A6H5Z3,1.0,1.0
63,A6H611,1.0,1.0
64,A6H630,1.0,1.0
68,A6X919,1.0,1.0
72,B1ART1,1.0,1.0
74,B1AUY3,1.3333333333333333,1.3333333333333333
76,B1AVP0,1.0,1.0
79,B1AY10,1.0,1.0
89,B2RXC6,1.0,1.0
93,B2RY04,1.0,1.0
96,B8ZXI1,1.1666666666666667,1.1666666666666667
101,B9EKI3,1.0,1.0
103,C0HKG5,1.0,1.0
105,D3YUE4,1.0,1.0
108,D3YZZ5,1.0,1.0
122,E2JF22,1.0,1.0
131,E9PY16,1.0,1.0
135,E9PYP2,1.0,1.0
141,E9Q137,1.0,1.0
143,E9Q2E4,1.0,1.0
149,E9Q411,1.0,1.0
150,E9Q4N7,1.0,1.0
151,E9Q512,1.0,1.0
162,E9Q7E2,1.0,1.0
165,E9Q8I7,1.0,1.0
173,F7BJB9,1.0,1.0
176,F8VPP8,2.0,2.0
179,F8VQ05,1.1666666666666667,1.1666666666666667
182,G3X8U3,1.0,1.0
186,G3X9F6,1.0,1.0
187,G3X9K3,1.0,1.0
188,G3X9X1,1.0,1.0
192,G5E895,1.0,1.0
196,J3QMC5,1.0,1.0
197,L7N466,1.0,1.0
208,O08586,1.0,1.0
209,O08599,1.0,1.0
211,O08605,1.0,1.0
213,O08663,1.0,1.0
219,O08738,1.0,1.0
227,O08796,1.0,1.0
238,O08915,1.0,1.0
242,O09005,1.0,1.0
248,O09061,1.0,1.0
251,O09117,1.0,1.0
253,O09131,1.0,1.0
255,O09167,1.0,1.0
257,O09174,1.0,1.0
261,O35083,1.0,1.0
262,O35114,1.0,1.0
270,O35215,1.0,1.0
278,O35298,1.0,1.0
282,O35344,1.0,1.0
286,O35379,1.0,1.0
289,O35386,1.0,1.0
295,O35516,1.0,1.0
303,O35639,1.0,1.0
307,O35658,1.0,1.0
316,O35744,1.0,1.0
318,O35855,1.0,1.0
320,O35864,1.0,1.0
321,O35887,1.0,1.0
322,O35900,1.0,1.0
327,O35969,1.0,1.0
337,O54788,1.0,1.0
341,O54833,1.0,1.0
342,O54834,1.0,1.0
343,O54879,1.0,1.0
348,O54918,1.0,1.0
358,O55028,1.0,1.0
360,O55060,1.0,1.0
366,O55126,1.0,1.0
374,O55229,1.0,1.0
388,O70305,1.0,1.0
389,O70309,1.0,1.0
394,O70348,1.0,1.0
395,O70370,1.0,1.0
397,O70400,1.0,1.0
403,O70480,1.0,1.0
405,O70492,1.0,1.0
407,O70496,1.0,1.0
408,O70503,1.0,1.0
419,O88351,1.5,1.5
420,O88384,1.0,1.0
421,O88425,1.0,1.0
425,O88455,1.0,1.0
429,O88520,1.0,1.0
434,O88544,1.0,1.0
442,O88622,1.0,1.0
444,O88643,1.0,1.0
446,O88668,1.0,1.0
452,O88746,1.0,1.0
458,O88843,1.0,1.0
461,O88851,1.0,1.0
462,O88855,1.0,1.0
464,O88876,1.0,1.0
473,O88968,1.0,1.0
475,O88983,1.0,1.0
479,O89017,1.0,1.0
481,O89050,1.0,1.0
486,O89090,2.0,2.0
494,P00920,1.0,1.0
504,P03958,1.0,1.0
514,P05201,1.0,1.0
515,P05202,1.0,1.0
518,P06151,1.0,1.0
522,P06797,1.0,1.0
524,P06801,1.0,1.0
527,P07607,1.0,1.0
528,P07724,1.0,1.0
533,P08071,1.0,1.0
537,P08228,1.0,1.0
549,P09581,1.6666666666666667,1.6666666666666667
550,P09671,1.0,1.0
552,P09925,1.0,1.0
573,P11031,1.0,1.0
576,P11157,1.0,1.0
578,P11276,1.0,1.0
586,P11688,1.0,1.0
588,P11881,1.1666666666666667,1.1666666666666667
590,P11930,1.0,1.0
610,P14152,1.0,1.0
624,P15532,1.0,1.0
626,P15626,1.0,1.0
629,P15946,1.0,1.0
630,P16045,1.0,1.0
637,P16460,1.1666666666666667,1.1666666666666667
665,P19253,1.0,1.0
678,P21107,1.0,1.0
683,P21550,1.0,1.0
698,P23492,1.0,1.0
699,P23506,1.0,1.0
700,P23591,1.0,1.0
704,P23950,1.0,1.0
714,P25085,1.0,1.0
718,P25444,1.0,1.0
732,P26443,1.0,1.0
747,P27773,1.0,1.0
752,P28076,1.0,1.0
754,P28271,1.0,1.0
756,P28352,1.0,1.0
757,P28474,1.0,1.0
762,P28659,1.0,1.0
763,P28660,1.0,1.0
776,P29758,1.0,1.0
779,P30355,1.0,1.0
782,P30681,1.0,1.0
790,P31938,1.0,1.0
794,P32233,1.0,1.0
800,P33610,1.0,1.0
818,P35329,1.0,1.0
828,P35762,2.0,2.0
832,P35979,1.0,1.0
833,P35980,1.0,1.0
835,P36371,1.0,1.0
838,P36552,1.0,1.0
842,P37913,1.6666666666666667,1.6666666666666667
844,P38585,1.0,1.0
846,P39054,1.5,1.5
857,P41105,1.0,1.0
859,P41230,1.0,1.0
861,P41241,1.0,1.0
863,P41731,1.0,1.0
882,P43346,1.0,1.0
885,P45376,1.0,1.0
887,P45591,1.0,1.0
897,P46656,1.0,1.0
901,P46735,1.0,1.0
902,P46737,1.5,1.5
905,P47199,1.0,1.0
906,P47226,1.0,1.0
913,P47758,1.6666666666666667,1.6666666666666667
915,P47791,1.0,1.0
918,P47811,1.0,1.0
922,P47934,1.0,1.0
926,P47963,1.0,1.0
928,P47968,1.0,1.0
930,P48036,1.0,1.0
933,P48410,1.0,1.0
934,P48428,1.0,1.0
935,P48441,1.0,1.0
940,P48758,1.0,1.0
941,P48771,1.0,1.0
942,P48774,1.0,1.0
949,P49442,1.0,1.0
967,P50396,1.0,1.0
969,P50428,1.0,1.0
970,P50429,1.0,1.0
976,P50580,1.0,1.0
977,P50637,1.0,1.0
980,P51163,1.0,1.0
981,P51174,1.0,1.0
986,P51569,1.0,1.0
988,P51675,1.0,1.0
990,P51807,1.0,1.0
992,P51855,1.0,1.0
993,P51859,1.0,1.0
999,P52196,1.0,1.0
1009,P52850,1.0,1.0
1011,P52912,1.0,1.0
1013,P53395,1.0,1.0
1021,P53986,1.0,1.0
1023,P53995,1.0,1.0
1024,P53996,1.0,1.0
1027,P54116,1.0,1.0
1033,P54728,1.0,1.0
1038,P54797,1.0,1.0
1045,P55096,1.0,1.0
1048,P55264,1.0,1.0
1050,P55772,1.0,1.0
1060,P56391,1.0,1.0
1066,P56542,1.0,1.0
1071,P56959,1.0,1.0
1077,P57759,1.0,1.0
1082,P58021,1.0,1.0
1084,P58058,1.3333333333333333,1.3333333333333333
1091,P58389,1.0,1.0
1099,P58801,1.0,1.0
1101,P58854,1.0,1.0
1105,P59108,1.0,1.0
1108,P59325,1.1666666666666667,1.1666666666666667
1109,P59326,1.0,1.0
1120,P59997,1.0,1.0
1127,P60670,1.0,1.0
1131,P60843,1.0,1.0
1138,P61079,1.0,1.0
1152,P61460,1.0,1.0
1153,P61514,1.0,1.0
1155,P61620,1.0,1.0
1161,P61961,2.0,2.0
1165,P61971,1.0,1.0
1168,P62046,1.0,1.0
1177,P62242,1.0,1.0
1179,P62259,1.0,1.0
1184,P62281,1.0,1.0
1190,P62313,1.0,1.0
1194,P62322,1.0,1.0
